Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
RecordTypeDescriptionTag,Description tag (by way of the DATA Act Broker) that explains the meaning of the code provided in the RecordType Field.,,Award Attribute,1= Aggregate Record 2= Non-Aggregate Record 3= Non-Aggregate Record to an Individual Recipient (PII-Redacted),"1 = Used to indicate an aggregate record. Aggregate records are used to protect the identities and Personally-Identifiable Information (PII) of individual recipients by aggregating all awards in a given county, state, or foreign country. 2 = The most common record type. Used to indicate a non-aggregate record with no sensitive personally-identifiable information (PII). 3 = Used to indicate a non-aggregate record to an individual recipient. Personally-identifiable information (PII) must be redacted from these records.Read Less"
Recovered Materials/Sustainability Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Recovered Materials/Sustainability Field.,,Award Attribute,A = FAR 52.223-4 INCLUDED B = FAR 52.223-4 AND FAR 52.223-9 INCLUDED C = NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED D = ENERGY EFFICIENT E = BIO-BASED F = ENVIRONMENTALLY PREFERABLE G = FAR 52.223-4 & ENERGY EFFICIENT H = FAR 52.223-4 & BIO-BASED I = FAR 52.223-4 & ENVIRONMENTALLY PREFERABLE J = FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT K = FAR 52.223-4 & BIO-BASED & ENVIRONMENTALLY PREFERABLE L = FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT & ENVIRONMENTALLY PREFERABLERead Less,"A = The solicitation included the provision at FAR 52.223-4, Recovered Material Certification. B = The solicitation included the provision at FAR 52.223-4, Recovered Material Certification and the contract includes the clause at FAR 52.223-9, Estimate of Percentage of Recovered Material Content for EPA-Designated Products. C = Neither clause is included in the contract. D = Energy efficient. E = Bio-based. F = Environmentally preferable. G = FAR 52.223-4 & energy efficient. H = FAR 52.223-4 & bio-based. I = FAR 52.223-4 & environmentally preferable. J = FAR 52.223-4 & bio-based & energy efficient. K = FAR 52.223-4 & bio-based & environmentally preferable. L = FAR 52.223-4 & bio-based & energy efficient & environmentally preferable.Read Less"
RecoveredMaterials/Sustainability,Designates whether Recovered Material Certification and/or Estimate of Percentage of Recovered Material Content for EPA-Designated Products clauses were included in the contract.,Recovered Materials/Sustainability,Award Attribute,A = FAR 52.223-4 INCLUDED B = FAR 52.223-4 AND FAR 52.223-9 INCLUDED C = NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED D = ENERGY EFFICIENT E = BIO-BASED F = ENVIRONMENTALLY PREFERABLE G = FAR 52.223-4 & ENERGY EFFICIENT H = FAR 52.223-4 & BIO-BASED I = FAR 52.223-4 & ENVIRONMENTALLY PREFERABLE J = FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT K = FAR 52.223-4 & BIO-BASED & ENVIRONMENTALLY PREFERABLE L = FAR 52.223-4 & BIO-BASED & ENERGY EFFICIENT & ENVIRONMENTALLY PREFERABLERead Less,"A = The solicitation included the provision at FAR 52.223-4, Recovered Material Certification. B = The solicitation included the provision at FAR 52.223-4, Recovered Material Certification and the contract includes the clause at FAR 52.223-9, Estimate of Percentage of Recovered Material Content for EPA-Designated Products. C = Neither clause is included in the contract. D = Energy efficient. E = Bio-based. F = Environmentally preferable. G = FAR 52.223-4 & energy efficient. H = FAR 52.223-4 & bio-based. I = FAR 52.223-4 & environmentally preferable. J = FAR 52.223-4 & bio-based & energy efficient. K = FAR 52.223-4 & bio-based & environmentally preferable. L = FAR 52.223-4 & bio-based & energy efficient & environmentally preferable.Read Less"
Referenced IDV Agency Name,Name of the agency associated with the code in the Referenced IDV Agency Identifier.,,Award Attribute,Refer to the GSA Federal Procurement Data System (FPDS),
Referenced IDV Multiple or Single,"Indicates whether the contract of the referenced IDV is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are required to compare their requirements with the offerings under more than one contract or are required to acquire the requirement competitively among the awardees. BPA ""Multiple or Single Award IDV"" value does not pull the ""Multiple or Single Award IDV"" value of the referenced FSS to the BPA. The ""Multiple or Single Award IDV"" value shall be required and selected by the user for all BPA bases created.Read Less",,Award Attribute,M = MULTIPLE AWARD S = SINGLE AWARD,
Referenced IDV Multiple or Single Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Referenced IDV Multiple or Single Field.,,Award Attribute,M = MULTIPLE AWARD S = SINGLE AWARD,
Referenced IDV Type,"The type of Indefinite Delivery Vehicle (IDV) being loaded by the IDV referenced in this transaction. Referenced IDV Types include Government-Wide Acquisition Contract (GWAC), Multi-Agency Contract, Other Indefinite Delivery Contract (IDC), Federal Supply Schedule (FSS), Basic Ordering Agreement (BOA), and Blanket Purchase Agreements (BPA).Read Less",,Award Attribute,A = GWAC B = IDC C = FSS D = BOA E = BPA,
Referenced IDV Type Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Referenced_IDV_Type Field.,,Award Attribute,A = GWAC B = IDC C = FSS D = BOA E = BPA,
Referenced_IDV_Agency_Identifier,Identifier used to link agency in FPDS to referenced IDV information.,Referenced IDV Agency Identifier,Award Attribute,Refer to the GSA Federal Procurement Data System (FPDS),
Referenced_IDV_Modification_Number,"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Modification Number along with Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal AgenciesRead Less",Referenced IDV Modification Number,Award Attribute,,
ReportingAgencyName,"Represents the name associated with the Reporting Agency Code that is responsible for the account. This information is based on the Agency Name, as identified in CARS.",,Treasury Account,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
Research,The designator for type of research determined for the contract action.,Research,Award Attribute,SR1 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE I ACTION SR2 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE II ACTION SR3 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE III ACTION ST1 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE I ST2 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE II ST3 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE IIIRead Less,SR1 = Use this code if the award was related to a Phase I contract in support of the Small Business Innovation Research (SBIR) Program. SR2 = Use this code if the award was related to a Phase II contract in support of the Small Business Innovation Research (SBIR) Program. SR3 = Use this code if the award was related to aPhase III contract in support of the Small Business Innovation Research (SBIR) Program ST1 = Use this code if the award was related to a Phase I contract in support of the Small Technology Transfer Research (STTR) Program ST2 = Use this code if the award was related to a Phase II contract in support of the Small Technology Transfer Research (STTR) Program ST3 = Use this code if the award was related to a Phase III contract in support of the Small Technology Transfer Research (STTR) ProgramRead Less
Research Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Research Field.,,Award Attribute,SR1 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE I ACTION SR2 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE II ACTION SR3 = SMALL BUSINESS INNOVATION RESEARCH PROGRAM PHASE III ACTION ST1 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE I ST2 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE II ST3 = SMALL TECHNOLOGY TRANSFER RESEARCH PROGRAM PHASE IIIRead Less,SR1 = Use this code if the award was related to a Phase I contract in support of the Small Business Innovation Research (SBIR) Program. SR2 = Use this code if the award was related to a Phase II contract in support of the Small Business Innovation Research (SBIR) Program. SR3 = Use this code if the award was related to aPhase III contract in support of the Small Business Innovation Research (SBIR) Program ST1 = Use this code if the award was related to a Phase I contract in support of the Small Technology Transfer Research (STTR) Program ST2 = Use this code if the award was related to a Phase II contract in support of the Small Technology Transfer Research (STTR) Program ST3 = Use this code if the award was related to a Phase III contract in support of the Small Technology Transfer Research (STTR) ProgramRead Less
